workspace,path,type,classification,purpose,confidence
local,package.json,config,KEEP,Next 16 / React 19 / Drizzle / pg stack,HIGH
local,package-lock.json,config,KEEP,Lockfile,HIGH
local,tsconfig.json,config,KEEP,TypeScript @/* paths,HIGH
local,next.config.ts,config,KEEP,Next config,HIGH
local,drizzle.config.json,config,KEEP,Drizzle kit,HIGH
local,eslint.config.mjs,config,KEEP,ESLint,HIGH
local,postcss.config.mjs,config,KEEP,PostCSS / Tailwind 4,HIGH
local,src/app/layout.tsx,component,MODIFY,Starter layout; rebrand in later UI phase,HIGH
local,src/app/page.tsx,component,MODIFY,Starter homepage; not learner product,HIGH
local,src/app/globals.css,style,MODIFY,Global styles,HIGH
local,src/app/api/health/route.ts,route,KEEP,Healthcheck regression lock,HIGH
local,src/db/index.ts,source,KEEP,Drizzle pg Pool client,HIGH
local,src/db/schema.ts,source,MODIFY,Empty placeholder; additive schema in Phase 01,HIGH
local,.env,secret,KEEP,DATABASE_URL only; never commit,HIGH
github-a,package.json,config,KEEP,Same stack as local; still named nextjs-postgresql-template,HIGH
github-a,src/db/schema.ts,source,KEEP,Canonical 39-table schema candidate (2081 lines),HIGH
github-a,src/db/index.ts,source,KEEP,Drizzle client,HIGH
github-a,src/app/api/health/route.ts,route,KEEP,Healthcheck,HIGH
github-a,src/app/api/masterplan/route.ts,route,KEEP,Control-tower metadata API,MEDIUM
github-a,src/app/api/v1/tutor/grammar-explain/route.ts,route,MODIFY,v1 compatibility shim; confirm vs B later,MEDIUM
github-a,src/app/api/v2/dictionary/search/route.ts,route,KEEP,Canonical dictionary search,HIGH
github-a,src/app/api/v2/dictionary/entries/[id]/route.ts,route,KEEP,Dictionary detail,HIGH
github-a,src/app/api/v2/kanji/route.ts,route,KEEP,Kanji list/create,HIGH
github-a,src/app/api/v2/kanji/[character]/route.ts,route,KEEP,Kanji detail,HIGH
github-a,src/app/api/v2/grammar/route.ts,route,KEEP,Grammar list/create,HIGH
github-a,src/app/api/v2/grammar/[idOrSlug]/route.ts,route,KEEP,Grammar detail,HIGH
github-a,src/app/api/v2/knowledge/route.ts,route,KEEP,Knowledge aggregate,HIGH
github-a,src/app/api/v2/courses/route.ts,route,KEEP,Courses,HIGH
github-a,src/app/api/v2/courses/[id]/route.ts,route,KEEP,Course CRUD,HIGH
github-a,src/app/api/v2/lessons/[id]/route.ts,route,KEEP,Lesson detail,HIGH
github-a,src/app/api/v2/lessons/[id]/play/route.ts,route,KEEP,Lesson player,HIGH
github-a,src/app/api/v2/lessons/[id]/submit/route.ts,route,KEEP,Lesson submit,HIGH
github-a,src/app/api/v2/quiz/generate/route.ts,route,KEEP,Quiz engine,HIGH
github-a,src/app/api/v2/jlpt/route.ts,route,KEEP,JLPT engine,HIGH
github-a,src/app/api/v2/tests/route.ts,route,KEEP,Practice tests,HIGH
github-a,src/app/api/v2/listening/route.ts,route,KEEP,Listening,HIGH
